Title,Date,Category,Link
"Former VA Psychologist Sentenced To Prison For Submitting False Medical Documents, Health Care Fraud",2024-05-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-va-psychologist-sentenced-to-prison-for-submitting-false-medical-documents-health-care-fraud/
U.S. Attorney's Office Announces The Formation Of Multi-Agency Health Care Fraud Task Force,2024-05-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorneys-office-announces-the-formation-of-multi-agency-health-care-fraud-task-force/
Las Vegas Woman Sentenced To Prison For $1 Million Medicaid Fraud Scheme,2024-05-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/las-vegas-woman-sentenced-to-prison-for-1-million-medicaid-fraud-scheme/
"Alnylam Pharmaceuticals Agreed to Pay $170,000 for Allegedly Violating the Civil Monetary Penalties Law by Failing to Submit Timely Pricing Data",2024-05-02,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/alnylam-pharmaceuticals-agreed-to-pay-170000-for-allegedly-violating-the-civil-monetary-penalties-law-by-failing-to-submit-timely-pricing-data/
Western Pennsylvania Nurse Sentenced To Consecutive Life Sentences After Pleading Guilty To Killing And Attempting To Kill Patients,2024-05-02,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/western-pennsylvania-nurse-sentenced-to-consecutive-life-sentences-after-pleading-guilty-to-killing-and-attempting-to-kill-patients/
Pain Management Physician Sentenced For Unlawfully Distributing Opioids,2024-05-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pain-management-physician-sentenced-for-unlawfully-distributing-opioids/
Opioid Manufacturer Endo Health Solutions Inc. Ordered to Pay $1.536B In Criminal Fines and Forfeiture for Distributing Misbranded Opioid Medication,2024-05-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/opioid-manufacturer-endo-health-solutions-inc-ordered-to-pay-1536b-in-criminal-fines-and-forfeiture-for-distributing-misbranded-opioid-medication/
Chicago Health Care Company and Its Owner To Pay $1 Million To Settle False Claims Act Lawsuit,2024-05-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/chicago-health-care-company-and-its-owner-to-pay-1-million-to-settle-false-claims-act-lawsuit/
Florida Hospital System Agrees to Pay $1.5 Million to Resolve Liability Relating to Self-Disclosure of Improper Discounts,2024-05-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-hospital-system-agrees-to-pay-15-million-to-resolve-liability-relating-to-self-disclosure-of-improper-discounts/
Connecticut Dentists Pay $498K to Settle False Claims Allegations,2024-05-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-dentists-pay-498k-to-settle-false-claims-allegations/
Former Inland Empire Nonprofit CEO Arrested On Indictment Alleging She Embezzled Federal Grant Funds For Wedding And Crypto,2024-05-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-inland-empire-nonprofit-ceo-arrested-on-indictment-alleging-she-embezzled-federal-grant-funds-for-wedding-and-crypto/
Physician And Owner Of Bellflower Medical Clinic Pleads Guilty To Defrauding Medi-Cal Family Program Out Of More Than $2.5 Million,2024-05-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-and-owner-of-bellflower-medical-clinic-pleads-guilty-to-defrauding-medi-cal-family-program-out-of-more-than-25-million/
Florida Man Sentenced To 10 Years In Prison And Ordered To Pay More Than $97 Million In Restitution For Participation In Multiple Health Care Fraud And Kickback Schemes,2024-05-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-sentenced-to-10-years-in-prison-and-ordered-to-pay-more-than-97-million-in-restitution-for-participation-in-multiple-health-care-fraud-and-kickback-schemes/
"Daniel Hurt, Landmark Diagnostics, Fountain Healthcare Services, First Choice Laboratory, and Sonoran Desert Pathology Associates Agreed to Be Excluded for 70 Years for Allegedly Submitting False Claims and Paying Improper Remuneration",2024-05-07,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/daniel-hurt-landmark-diagnostics-fountain-healthcare-services-first-choice-laboratory-and-sonoran-desert-pathology-associates-agreed-to-be-excluded-for-70-years-for-allegedly-submitting-false-claims-and-paying-improper-remuneration/
"Baptist Medical Center South Agreed to Pay $247,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Occupational Therapy Services that Did Not Meet Medicare Requirements",2024-05-07,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/baptist-medical-center-south-agreed-to-pay-247000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-occupational-therapy-services-that-did-not-meet-medicare-requirements/
Attorney General Ford Announces Conviction Of Health Care Company And Its Owner,2024-05-07,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ford-announces-conviction-of-health-care-company-and-its-owner/
"Four People Plead Guilty, Sentenced For Multi-Million-Dollar Medicaid Fraud Scheme That Involved Inflated Transportation Costs, Other Phantom Services",2024-05-07,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/four-people-plead-guilty-sentenced-for-multi-million-dollar-medicaid-fraud-scheme-that-involved-inflated-transportation-costs-other-phantom-services/
Former Memphis Caregiver Charged With Abuse Of Vulnerable Adult,2024-05-07,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-memphis-caregiver-charged-with-abuse-of-vulnerable-adult/
DOJ Resolves Allegations Tacoma Spine Surgeon Billed For Unnecessary Surgeries,2024-05-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doj-resolves-allegations-tacoma-spine-surgeon-billed-for-unnecessary-surgeries/
"Ascension St. John Medical Center Agreed to Pay $556,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of On-Call Services Above Fair Market Value",2024-05-08,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/ascension-st-john-medical-center-agreed-to-pay-556000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-on-call-services-above-fair-market-value/
Local Physician And Practice Agree To Pay Over $2 Million To Settle False Claims Act Allegations,2024-05-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/local-physician-and-practice-agree-to-pay-over-2-million-to-settle-false-claims-act-allegations/
Prasanta Ghose and Modern Laboratory Agreed to Be Excluded for 10 Years for Allegedly Submitting False Claims for Venipuncture and Travel Allowance,2024-05-09,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/prasanta-ghose-and-modern-laboratory-agreed-to-be-excluded-for-10-years-for-allegedly-submitting-false-claims-for-venipuncture-and-travel-allowance/
Three Tennessee Physicians Sentenced For Roles In Drug Trafficking And Fraud Schemes,2024-05-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/three-tennessee-physicians-sentenced-for-roles-in-drug-trafficking-and-fraud-schemes/
"Shelby Township Doctor Sentenced To 12 Years In Prison For Illegally Distributing More Than 270,000 Opioid Pills Worth More Than $6.3 Million",2024-05-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/shelby-township-doctor-sentenced-to-12-years-in-prison-for-illegally-distributing-more-than-270000-opioid-pills-worth-more-than-63-million/
"Rushford Center Agreed to Pay $27,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-05-09,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/rushford-center-agreed-to-pay-27000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Fairmont Crossing Health and Rehabilitation Agreed to Pay $40,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual",2024-05-09,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/fairmont-crossing-health-and-rehabilitation-agreed-to-pay-40000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
Kroger Specialty Pharmacy Agreed to Pay $23.5 Million for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims Supported by False Prior Authorizations,2024-05-10,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/kroger-specialty-pharmacy-agreed-to-pay-235-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-supported-by-false-prior-authorizations/
Doctor Convicted Of $6.3M Medicare Fraud Scheme,2024-05-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-of-63m-medicare-fraud-scheme/
Dentist Sentenced For Unlawfully Distributing Opioids That Caused Patient’s Death,2024-05-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dentist-sentenced-for-unlawfully-distributing-opioids-that-caused-patients-death/
Connecticut Ophthalmologist Sentenced To Prison For Five-Year Health Care Fraud Scheme,2024-05-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-ophthalmologist-sentenced-to-prison-for-five-year-health-care-fraud-scheme/
Glastonbury Psychologist Sentenced To Prison For Defrauding Medicaid Of More Than $1.6 Million,2024-05-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/glastonbury-psychologist-sentenced-to-prison-for-defrauding-medicaid-of-more-than-16-million/
Three Admit Half-Million Dollar Health Care Fraud Conspiracy,2024-05-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/three-admit-half-million-dollar-health-care-fraud-conspiracy/
Memphis Woman Charged With Abuse Of Vulnerable Adult,2024-05-13,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/memphis-woman-charged-with-abuse-of-vulnerable-adult/
Ten Individuals Charged With Theft Of Federal Program Funds From Tuskegee University,2024-05-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ten-individuals-charged-with-theft-of-federal-program-funds-from-tuskegee-university/
"Penfield Place Agreed to Pay $53,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-05-14,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/penfield-place-agreed-to-pay-53000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Missouri And New Orleans Men Charged With $174 Million Conspiracy To Commit Health Care Fraud,2024-05-14,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/missouri-and-new-orleans-men-charged-with-174-million-conspiracy-to-commit-health-care-fraud/
"Trilogy Pro Services Agreed to Pay $716,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting False Claims for Prescription Refills",2024-05-14,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/trilogy-pro-services-agreed-to-pay-716000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-false-claims-for-prescription-refills/
Owner Of Home Health Services Agency And Parent Of Disabled Child Arrested For Medicaid Provider Fraud,2024-05-15,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/owner-of-home-health-services-agency-and-parent-of-disabled-child-arrested-for-medicaid-provider-fraud/
U.S. Attorney Announces $2.5 Million False Claims Act Settlement With Diagnostic Testing Facility For Paying Kickbacks To Physicians For Patient Referrals,2024-05-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-announces-25-million-false-claims-act-settlement-with-diagnostic-testing-facility-for-paying-kickbacks-to-physicians-for-patient-referrals/
"Pennsylvania Man Sentenced To Probation And $20,000 Fine For Attempting To Obstruct Investigation Into Purdue Pharma’s And Practice Fusion’s Violations Of Anti-Kickback Statute",2024-05-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pennsylvania-man-sentenced-to-probation-and-20000-fine-for-attempting-to-obstruct-investigation-into-purdue-pharmas-and-practice-fusions-violations-of-anti-kickback-statute/
Cape Cod Hospital To Pay $24.3 Million To Resolve False Claims Act Allegations Concerning Its Failure To Comply With Medicare Rules For Cardiac Procedures,2024-05-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/cape-cod-hospital-to-pay-243-million-to-resolve-false-claims-act-allegations-concerning-its-failure-to-comply-with-medicare-rules-for-cardiac-procedures/
"Hospice Owner Sentenced To 240 Months Imprisonment And Ordered To Repay $42,000,000 For Defrauding Medicare",2024-05-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/hospice-owner-sentenced-to-240-months-imprisonment-and-ordered-to-repay-42000000-for-defrauding-medicare/
"Charlotte Licensed Clinical Social Worker Convicted Of Medicaid Fraud, COVID-19 Relief Fraud, And Money Laundering",2024-05-17,COVID-19Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/charlotte-licensed-clinical-social-worker-convicted-of-medicaid-fraud-covid-19-relief-fraud-and-money-laundering/
Cleveland Clinic to Pay Over $7 Million to Settle Allegations of Undisclosed Foreign Sources of Funding on NIH Grant Applications and Reports,2024-05-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/cleveland-clinic-to-pay-over-7-million-to-settle-allegations-of-undisclosed-foreign-sources-of-funding-on-nih-grant-applications-and-reports/
"Nurse Sentenced To Federal Prison For Stealing Pain Medication From Patients And Fined $20,000",2024-05-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nurse-sentenced-to-federal-prison-for-stealing-pain-medication-from-patients-and-fined-20000/
Montague Caregiver Charged With Medicaid Fraud,2024-05-17,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/montague-caregiver-charged-with-medicaid-fraud/
Dayton Woman Indicted For $1.5 Million Theft From Medicaid Program,2024-05-17,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/dayton-woman-indicted-for-15-million-theft-from-medicaid-program/
Laredo Resident Sent To Prison For Impersonating Licensed Nurse,2024-05-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/laredo-resident-sent-to-prison-for-impersonating-licensed-nurse/
"Avicenna Pharmacy Agreed to Pay $180,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration to Beneficiaries in the Form of Reduced Deductibles",2024-05-19,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/avicenna-pharmacy-agreed-to-pay-180000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-to-beneficiaries-in-the-form-of-reduced-deductibles/
Government Contractor Settles Claims That It Billed for Personnel Who Lacked Required Security Clearances,2024-05-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/government-contractor-settles-claims-that-it-billed-for-personnel-who-lacked-required-security-clearances/
"Boston-Based Dental Practice And Manager Indicted for Medicaid Fraud, Unlicensed Practice Of Dentistry, And Assault And Battery",2024-05-21,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/boston-based-dental-practice-and-manager-indicted-for-medicaid-fraud-unlicensed-practice-of-dentistry-and-assault-and-battery/
"St. Agnes Hospital Agreed to Pay $69,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Free Office Space and Clinical Services and Submitted False Claims for Patients in Clinical Research Programs",2024-05-21,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/st-agnes-hospital-agreed-to-pay-69000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-free-office-space-and-clinical-services-and-submitted-false-claims-for-patients-in-clinical-research-programs/
Man Sentenced For Laundering Over $4.5M Obtained From Business Email Compromise And Romance Fraud Schemes,2024-05-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-sentenced-for-laundering-over-45m-obtained-from-business-email-compromise-and-romance-fraud-schemes/
Orthopedic Surgeon Sentenced To More Than One Year In Prison For Health Care Fraud,2024-05-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/orthopedic-surgeon-sentenced-to-more-than-one-year-in-prison-for-health-care-fraud/
Magellan Diagnostics Agrees To Plead Guilty And Pay $42 Million To Resolve Criminal Charges,2024-05-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/magellan-diagnostics-agrees-to-plead-guilty-and-pay-42-million-to-resolve-criminal-charges/
"Mississippi Man Admits $51 Million Health Care Fraud Scheme Involving Durable Medical Equipment, Genetic Cancer Screening Tests, And Compounded Medications",2024-05-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/mississippi-man-admits-51-million-health-care-fraud-scheme-involving-durable-medical-equipment-genetic-cancer-screening-tests-and-compounded-medications/
Former Wallingford Doctor Who Sold Opioid Prescriptions For Cash Sentenced To Federal Prison,2024-05-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-wallingford-doctor-who-sold-opioid-prescriptions-for-cash-sentenced-to-federal-prison/
Doctor Convicted Of Nearly $2M Medicare And Medicaid Fraud Scheme,2024-05-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-of-nearly-2m-medicare-and-medicaid-fraud-scheme/
Fugitive Who Fled To The Dominican Republic Sentenced For Laundering Millions Of Health Care Fraud Proceeds,2024-05-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/fugitive-who-fled-to-the-dominican-republic-sentenced-for-laundering-millions-of-health-care-fraud-proceeds/
Attorney General Alan Wilson Announces Arrest Of Myrtle Beach Father And Son For Stealing From Assisted Living Center Resident,2024-05-23,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-myrtle-beach-father-and-son-for-stealing-from-assisted-living-center-resident/
Attorney General James Secures Over $10 Million From Health Care Companies For Failing To Provide Care To New Yorkers,2024-05-23,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-secures-over-10-million-from-health-care-companies-for-failing-to-provide-care-to-new-yorkers/
U.S. Attorney Announces $10.1 Million Settlement With Managed Long-Term Care Plan For Improper Receipt Of Medicaid Payments,2024-05-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-announces-101-million-settlement-with-managed-long-term-care-plan-for-improper-receipt-of-medicaid-payments/
"Two Indicted, Charged In TBI Medicaid Fraud Theft Case",2024-05-23,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/two-indicted-charged-in-tbi-medicaid-fraud-theft-case/
Florida Businessman Daniel Hurt To Pay Over $27 Million For Medicare Fraud In Connection With Cancer Genomic Tests,2024-05-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-businessman-daniel-hurt-to-pay-over-27-million-for-medicare-fraud-in-connection-with-cancer-genomic-tests/
Doctor Convicted Of $70M Medicare Fraud Scheme,2024-05-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-of-70m-medicare-fraud-scheme/
"Rehabilitation Hospital of the Pacific Agreed to Pay $208,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-05-28,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/rehabilitation-hospital-of-the-pacific-agreed-to-pay-208000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Penn Highlands Healthcare To Pay $735,000 To Settle False Claims Act Allegations",2024-05-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/penn-highlands-healthcare-to-pay-735000-to-settle-false-claims-act-allegations/
Wisconsin Attorney Sentenced To Five And A Half Years In Federal Prison For $2.3 Million Fraud And Tax Evasion Schemes,2024-05-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/wisconsin-attorney-sentenced-to-five-and-a-half-years-in-federal-prison-for-23-million-fraud-and-tax-evasion-schemes/
